"filename", "language", "JavaScript", "JSON", "Markdown", "JSON with Comments", "HTML", "MS SQL", "JavaScript JSX", "PostCSS", "XML", "comment", "blank", "total"
"/home/ben-from-earth/MegsComfortCreations/src/pages/MediaCollector/TitleBlockContainer.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 7
"/home/ben-from-earth/MegsComfortCreations/src/pages/MediaCollector/TitleBlockContainer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/ben-from-earth/MegsComfortCreations/src/pages/MediaCollector/helpers/MediaCollectorHelpers.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/ben-from-earth/MegsComfortCreations/src/pages/MegsRecs/MegsRecs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"/home/ben-from-earth/MegsComfortCreations/src/pages/Newsletter/NewsletterPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"/home/ben-from-earth/MegsComfortCreations/src/pages/Shop/ShopPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"/home/ben-from-earth/MegsComfortCreations/src/state/collectorSlice.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 19, 18, 198
"/home/ben-from-earth/MegsComfortCreations/src/state/databaseDataSlice.js", "JavaScript", 139, 0, 0, 0, 0, 0, 0, 0, 0, 12, 14, 165
"/home/ben-from-earth/MegsComfortCreations/src/state/store.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"/home/ben-from-earth/MegsComfortCreations/vite.config.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"Total", "-", 654, 5188, 4, 8, 19, 53, 455, 250, 1, 70, 234, 6936
